
height  width   matroid   matroid+cert  gh      det
10      10      0         0             0.00    1.08
15      15      0         0             0.64    1999.69
20      20      0         0             132.06  {}
25      25      0         0             {}      {}
50      50      0.01      0.01          {}      {}
100     100     0.05      0.05          {}      {}
200     200     0.37      0.38          {}      {}
300     300     0.88      0.88          {}      {}
400     400     3.42      3.42          {}      {}
600     600     13.40     13.98         {}      {}
800     800     33.24     34.67         {}      {}
