
height  width   matroid   matroid+cert  gh      det
10      10      0.00      0.00          0.0     0.01
15      15      0.01      0.01          0.0     0.01
20      20      0.02      0.02          0.0     0.10
25      25      0.03      0.04          0.0     3.69
50      50      0.29      0.35          0.0     {}
100     100     3.30      3.86          0.00    {}
200     200     50.47     57.64         0.00    {}
300     300     261.50    294.92        0.02    {}
400     400     874.46    990.30        0.04    {}
600     600     {}        {}            0.07    {}
